# most_likely]
a lot-"many" or "much"|allot-to distribute something
flak-adverse criticism|flack-a publicity agent or press relations person.
flesh out-add flesh to a skeleton, or metaphorically to add substance to an incomplete rendering.|flush out-to frighten quarry from a place of concealment.
flounder-to be clumsy, confused, indecisive, as if flopping about like a fish out of water|founder-to fill with water and sink (or, figuratively, to fail).
flaunt-to show off something.|flout-to flagrantly ignore a rule or law.
forgo-to give up or do without.|forego-to go before
gone-the past participle of go.|went-the simple past tense of go.
guide lines-faint grid lines used in drawing and layout to help guide an artist or designer, or, in a figurative and more common sense (often spelled guidelines), they are loose rules to help guide conduct.|guy ropes-lines used to tension structures, particularly tents, and do not "guide" anything.
hung-an suspended item|hanged-a person having been executed by hanging
hanger-a device used for hanging|hangar-a storage facility for aircraft
hay-animal food|straw-dry grass stalk used to line an animal's stall or for bedding and insulation.
hear-detect a sound with one's ears|here-one's immediate location.
hoard-noun,a store or accumulation of things|hoard-verb,to store or accumulate things, usually in irrational or unfair quantities|horde-noun,a large group of people
home-place of dwelling|hone-to put a razor edge on something (sometimes metaphorically, as in "hone your skills")
if-conditional statement "if this, then that"|whether-used to list alternatives "whether this or that"
implied-a suggestion intended by the person speaking|inferred-a conclusion reached by the person listening.
inherit-verb, to pass on to the next generation|inherent-states that an item is permanently bound to something ("that is inherently evil")
it's-a contraction of "it is" or "it has"|its-belonging to "it"
aisle-a corridor, hallway, or row|isle-an island
jibe-to be in accord with. Also a sailing term for turning downwind.|jive-hepcat speech idioms
lay-transitive verb, (meaning that it takes an object) To place something. Also the past-tense of lie!|lie-intransitive verb, to recline (HINT: replace lay and lie with sit and set. If sit makes sense then lie should be used.
levee-noun,a structure built along a river to raise the height of its banks|levy-verb,to impose a tax, fine or other assessment, or a military draft|levy-noun,an assessment or army gathered by the process of levy
loathe-verb,to strongly dislike|loath,adjective,"unwilling" or "reluctant.|loth-adjective,"unwilling" or "reluctant"
lose-to fail to win, misplace, or cease to be in possession|loose-the opposite of tight, or the opposite of tighten. 
marinade-noun,a soaking sauce for flavoring food,marinate-verb,to soak in a marinade|macerate-to soften by steeping in a liquid
mitigate-make something milder|militate-fight or exert pressure for something to happen or not to happen
momentary-adjective,for a moment|momentarily,adverb,for a moment, or in a moment
novice-a prospective or trainee member|novitiate-the state of being a novice, or the time for which one is a novice. 
palette-a thin board used by an artist to hold paint, or generally, a set of colors|pallet-a mass shipping device or a wooden platform or thin sleeping mattress placed on the floor|palate-the roof of the mouth, used to refer to one's tastes in food. 
partial-a part or a portion of something|parcel-an item wrapped for shipment, or a division of land
past-referring to events that have previously occurred|passed=the past tense of "to pass"
preemptive-an action taken before an adversary can act|peremptory-an absolute act or statement which it cannot be denied. 
perpetuate-cause something to continue or to keep happening|perpetrate-commit something (usually a crime)
prerequisite-something required as a condition|perquisite usually-'an extra allowance or privilege'
perspective-a viewpoint, either literally (artist's perspective) or figuratively ("from my perspective")|prospective-is a future possibility or expectation.
perspicuous, something that is easily understood; its meaning is obvious.|perspicacious-a person that is quick to understand or has good insight
photogenic-someone who looks good in photographs|photographic-something pertaining to the field of photography
pored over-to study an item intently|poured over-the act of tipping a substance onto something.
prescribe-command or recommend something|proscribe-to outlaw somebody or something
procrastinate-to put off doing something that needs to be done|prevaricate-to avoid telling the truth
prodigy-a genius or a marvelous example of something|progeny-offspring or things that follow
rain-liquid water that falls from the sky|reign-the rule of a monarch|reins-the straps used to control the movements of an animal.  Figuratively, control of an organization. Found in "assume the reins" or "give free rein"
regime-a group that rules or intends to rule|regiment-a military detatchment|regimen-strict system of order, usually in medication or excercise. 
regretful-adjective,full of regret|regrettable-adjective,deplorable or unfortunate.
reluctant-unwilling to do something|reticent-quiet and unwilling to speak
sensual-applied to pleasure or experience, or to a person's character|sensuous-applied to someone or something of enticing appearance
set-to place or to adjust to a value|sit-to be seated
shrink-to become physically smaller in size|shirk-to avoid resopnsibility
since-adverb or a preposition, a dependent reason ("since you said that, I did this") or a span of time "since last tuesday"|sense-noun, any of the 5 senses, a feeling, or the sense in which something is true.
sight-something visually seen|site-the location something is happening|cite-to quote or list as a source
suit and suite. Suit is a noun meaning an article of clothing; it is also a verb meaning to make/be appropriate. Suite is a noun meaning a set of things forming a series or set. 
taught-the past tense of teach|taut-something that is stretched tight|tout-hype up, advertise, or promote.
trembler-something that trembles|temblor-an earthquake
than-preposition, always used for comparison between things "larger than life"|then-adverb or noun, conditional statement "if...then...", an order in time "add flour, then eggs", or a statement of the past "that was then, this is now"
there-refers to the location of something "over there"|their-posessive,belonging to "them"|they're-a contraction of "they are"|there're-a contraction of "there are".
throw-propel an object through the air.|throe-a spasm.
to-preposition, a physical or abstract destination "go to school", "to arms, men!"|two-a number more than one and less than three|too-in excess("too much") or also ("me too")
venal-corrupt or able to be bribed|venial-pardonable, not serious
want-the act of desiring or wishing for something|won't-a contraction for "will not"|wont-adjective,accustomed to or inclined to|wont-noun,habit or custom
where-a location or an interrogative question about a location|wherefore-why
who's-a contraction for "who is" or "who has".|whose-interrogative word ("Whose is this?") or a relative pronoun (The people whose house you admired)
woman-a single female|women-multiple females
you're-a contraction of "you are"|your-possessive pronoun, belonging to you
